variable,exposure_type,exposure_value,exposure_probability,lag_window,reference_value,RR,model_key,specification_order
rh,mavg,65.148653509,0.16,0,76.166598945,0.966234275279281,rh__mavg,4
rh,mavg,65.148653509,0.16,1,76.166598945,0.976093209472543,rh__mavg,4
rh,mavg,65.148653509,0.16,2,76.166598945,0.985512009868054,rh__mavg,4
rh,mavg,65.148653509,0.16,3,76.166598945,0.993930701238572,rh__mavg,4
rh,mavg,65.148653509,0.16,4,76.166598945,1.00077309744747,rh__mavg,4
rh,mavg,65.148653509,0.16,5,76.166598945,1.00545409775395,rh__mavg,4
rh,mavg,65.148653509,0.16,6,76.166598945,1.00757450325757,rh__mavg,4
rh,mavg,65.148653509,0.16,7,76.166598945,1.00748641628462,rh__mavg,4
rh,mavg,65.148653509,0.16,8,76.166598945,1.00574194218396,rh__mavg,4
rh,mavg,65.148653509,0.16,9,76.166598945,1.00289964819371,rh__mavg,4
rh,mavg,65.148653509,0.16,10,76.166598945,0.999516973443912,rh__mavg,4
rh,mavg,66.57951539,0.19,0,76.166598945,0.970048233977321,rh__mavg,4
rh,mavg,66.57951539,0.19,1,76.166598945,0.978597206326643,rh__mavg,4
rh,mavg,66.57951539,0.19,2,76.166598945,0.986769062861402,rh__mavg,4
rh,mavg,66.57951539,0.19,3,76.166598945,0.994097315083736,rh__mavg,4
rh,mavg,66.57951539,0.19,4,76.166598945,1.00010364501882,rh__mavg,4
rh,mavg,66.57951539,0.19,5,76.166598945,1.00430300951616,rh__mavg,4
rh,mavg,66.57951539,0.19,6,76.166598945,1.00636479770729,rh__mavg,4
rh,mavg,66.57951539,0.19,7,76.166598945,1.00658337771646,rh__mavg,4
rh,mavg,66.57951539,0.19,8,76.166598945,1.00541834545414,rh__mavg,4
rh,mavg,66.57951539,0.19,9,76.166598945,1.00333434479891,rh__mavg,4
rh,mavg,66.57951539,0.19,10,76.166598945,1.00079577485716,rh__mavg,4
rh,mavg,67.8709934233333,0.22,0,76.166598945,0.973902852877402,rh__mavg,4
rh,mavg,67.8709934233333,0.22,1,76.166598945,0.981233310598189,rh__mavg,4
rh,mavg,67.8709934233333,0.22,2,76.166598945,0.988243180390437,rh__mavg,4
rh,mavg,67.8709934233333,0.22,3,76.166598945,0.994546663946538,rh__mavg,4
rh,mavg,67.8709934233333,0.22,4,76.166598945,0.999749504760506,rh__mavg,4
rh,mavg,67.8709934233333,0.22,5,76.166598945,1.003452506622,rh__mavg,4
rh,mavg,67.8709934233333,0.22,6,76.166598945,1.00538400219905,rh__mavg,4
rh,mavg,67.8709934233333,0.22,7,76.166598945,1.00578860360244,rh__mavg,4
rh,mavg,67.8709934233333,0.22,8,76.166598945,1.00504647392461,rh__mavg,4
rh,mavg,67.8709934233333,0.22,9,76.166598945,1.00354158587595,rh__mavg,4
rh,mavg,67.8709934233333,0.22,10,76.166598945,1.00165808688014,rh__mavg,4
rh,mavg,69.0278560573296,0.25,0,76.166598945,0.977700285330593,rh__mavg,4
rh,mavg,69.0278560573296,0.25,1,76.166598945,0.983908026459244,rh__mavg,4
rh,mavg,69.0278560573296,0.25,2,76.166598945,0.989845704609074,rh__mavg,4
rh,mavg,69.0278560573296,0.25,3,76.166598945,0.995196816093371,rh__mavg,4
rh,mavg,69.0278560573296,0.25,4,76.166598945,0.99963894297283,rh__mavg,4
rh,mavg,69.0278560573296,0.25,5,76.166598945,1.00284613890443,rh__mavg,4
rh,mavg,69.0278560573296,0.25,6,76.166598945,1.00459703085788,rh__mavg,4
rh,mavg,69.0278560573296,0.25,7,76.166598945,1.00509340927895,rh__mavg,4
rh,mavg,69.0278560573296,0.25,8,76.166598945,1.0046474210082,rh__mavg,4
rh,mavg,69.0278560573296,0.25,9,76.166598945,1.00357399221675,rh__mavg,4
rh,mavg,69.0278560573296,0.25,10,76.166598945,1.0021883734034,rh__mavg,4
rh,mavg,70.10922018025,0.28,0,76.166598945,0.981523777333407,rh__mavg,4
rh,mavg,70.10922018025,0.28,1,76.166598945,0.986658612410227,rh__mavg,4
rh,mavg,70.10922018025,0.28,2,76.166598945,0.99157055643167,rh__mavg,4
rh,mavg,70.10922018025,0.28,3,76.166598945,0.9960051489353,rh__mavg,4
rh,mavg,70.10922018025,0.28,4,76.166598945,0.999703976344391,rh__mavg,4
rh,mavg,70.10922018025,0.28,5,76.166598945,1.00240622564883,rh__mavg,4
rh,mavg,70.10922018025,0.28,6,76.166598945,1.00393518226844,rh__mavg,4
rh,mavg,70.10922018025,0.28,7,76.166598945,1.0044540926591,rh__mavg,4
rh,mavg,70.10922018025,0.28,8,76.166598945,1.00421426440444,rh__mavg,4
rh,mavg,70.10922018025,0.28,9,76.166598945,1.00346892807413,rh__mavg,4
rh,mavg,70.10922018025,0.28,10,76.166598945,1.00247164529342,rh__mavg,4
rh,mavg,71.1037979416,0.31,0,76.166598945,0.985149209499048,rh__mavg,4
rh,mavg,71.1037979416,0.31,1,76.166598945,0.989297336086373,rh__mavg,4
rh,mavg,71.1037979416,0.31,2,76.166598945,0.993265492380963,rh__mavg,4
rh,mavg,71.1037979416,0.31,3,76.166598945,0.99685322632527,rh__mavg,4
rh,mavg,71.1037979416,0.31,4,76.166598945,0.999857559923652,rh__mavg,4
rh,mavg,71.1037979416,0.31,5,76.166598945,1.00207396027533,rh__mavg,4
rh,mavg,71.1037979416,0.31,6,76.166598945,1.00336419580945,rh__mavg,4
rh,mavg,71.1037979416,0.31,7,76.166598945,1.00385768618088,rh__mavg,4
rh,mavg,71.1037979416,0.31,8,76.166598945,1.00375273655819,rh__mavg,4
rh,mavg,71.1037979416,0.31,9,76.166598945,1.00324891607988,rh__mavg,4
rh,mavg,71.1037979416,0.31,10,76.166598945,1.00254606710278,rh__mavg,4
rh,mavg,72.0343914692,0.34,0,76.166598945,0.988509161422571,rh__mavg,4
rh,mavg,72.0343914692,0.34,1,76.166598945,0.991754922539236,rh__mavg,4
rh,mavg,72.0343914692,0.34,2,76.166598945,0.994859869454967,rh__mavg,4
rh,mavg,72.0343914692,0.34,3,76.166598945,0.997670714903666,rh__mavg,4
rh,mavg,72.0343914692,0.34,4,76.166598945,1.00003265485359,rh__mavg,4
rh,mavg,72.0343914692,0.34,5,76.166598945,1.00178994019121,rh__mavg,4
rh,mavg,72.0343914692,0.34,6,76.166598945,1.0028375786389,rh__mavg,4
rh,mavg,72.0343914692,0.34,7,76.166598945,1.00327516154283,rh__mavg,4
rh,mavg,72.0343914692,0.34,8,76.166598945,1.00325461631568,rh__mavg,4
rh,mavg,72.0343914692,0.34,9,76.166598945,1.00292864799072,rh__mavg,4
rh,mavg,72.0343914692,0.34,10,76.166598945,1.00245015829383,rh__mavg,4
rh,mavg,72.9180867054833,0.37,0,76.166598945,0.991563530132996,rh__mavg,4
rh,mavg,72.9180867054833,0.37,1,76.166598945,0.993989045666203,rh__mavg,4
rh,mavg,72.9180867054833,0.37,2,76.166598945,0.996309379203002,rh__mavg,4
rh,mavg,72.9180867054833,0.37,3,76.166598945,0.998412417383043,rh__mavg,4
rh,mavg,72.9180867054833,0.37,4,76.166598945,1.00018521508311,rh__mavg,4
rh,mavg,72.9180867054833,0.37,5,76.166598945,1.00151430318228,rh__mavg,4
rh,mavg,72.9180867054833,0.37,6,76.166598945,1.00232338322425,rh__mavg,4
rh,mavg,72.9180867054833,0.37,7,76.166598945,1.00268573680464,rh__mavg,4
rh,mavg,72.9180867054833,0.37,8,76.166598945,1.00271269600827,rh__mavg,4
rh,mavg,72.9180867054833,0.37,9,76.166598945,1.00251602869774,rh__mavg,4
rh,mavg,72.9180867054833,0.37,10,76.166598945,1.00220762697091,rh__mavg,4
rh,mavg,73.7331587234318,0.4,0,76.166598945,0.994175151781784,rh__mavg,4
rh,mavg,73.7331587234318,0.4,1,76.166598945,0.995890706893309,rh__mavg,4
rh,mavg,73.7331587234318,0.4,2,76.166598945,0.997531973928429,rh__mavg,4
rh,mavg,73.7331587234318,0.4,3,76.166598945,0.999021212294225,rh__mavg,4
rh,mavg,73.7331587234318,0.4,4,76.166598945,1.00028027215244,rh__mavg,4
rh,mavg,73.7331587234318,0.4,5,76.166598945,1.00123074324572,rh__mavg,4
rh,mavg,73.7331587234318,0.4,6,76.166598945,1.00182002367791,rh__mavg,4
rh,mavg,73.7331587234318,0.4,7,76.166598945,1.00209920633998,rh__mavg,4
rh,mavg,73.7331587234318,0.4,8,76.166598945,1.00214563158624,rh__mavg,4
rh,mavg,73.7331587234318,0.4,9,76.166598945,1.00203685836261,rh__mavg,4
rh,mavg,73.7331587234318,0.4,10,76.166598945,1.00185051406989,rh__mavg,4
rh,mavg,74.5177337198,0.43,0,76.166598945,0.996426761286252,rh__mavg,4
rh,mavg,74.5177337198,0.43,1,76.166598945,0.997514227290389,rh__mavg,4
rh,mavg,74.5177337198,0.43,2,76.166598945,0.99855474285468,rh__mavg,4
rh,mavg,74.5177337198,0.43,3,76.166598945,0.99949997580737,rh__mavg,4
rh,mavg,74.5177337198,0.43,4,76.166598945,1.00030143214813,rh__mavg,4
rh,mavg,74.5177337198,0.43,5,76.166598945,1.00091051387608,rh__mavg,4
rh,mavg,74.5177337198,0.43,6,76.166598945,1.00129468960938,rh__mavg,4
rh,mavg,74.5177337198,0.43,7,76.166598945,1.00148588457754,rh__mavg,4
rh,mavg,74.5177337198,0.43,8,76.166598945,1.00153226667067,rh__mavg,4
rh,mavg,74.5177337198,0.43,9,76.166598945,1.0014820918216,rh__mavg,4
rh,mavg,74.5177337198,0.43,10,76.166598945,1.00138364585049,rh__mavg,4
rh,mavg,75.24823056,0.46,0,76.166598945,0.998228585860045,rh__mavg,4
rh,mavg,75.24823056,0.46,1,76.166598945,0.998791019895399,rh__mavg,4
rh,mavg,75.24823056,0.46,2,76.166598945,0.999329288462628,rh__mavg,4
rh,mavg,75.24823056,0.46,3,76.166598945,0.999818857802781,rh__mavg,4
rh,mavg,75.24823056,0.46,4,76.166598945,1.00023515151872,rh__mavg,4
rh,mavg,75.24823056,0.46,5,76.166598945,1.000553565544,rh__mavg,4
rh,mavg,75.24823056,0.46,6,76.166598945,1.00075766147095,rh__mavg,4
rh,mavg,75.24823056,0.46,7,76.166598945,1.00086371561316,rh__mavg,4
rh,mavg,75.24823056,0.46,8,76.166598945,1.00089621694402,rh__mavg,4
rh,mavg,75.24823056,0.46,9,76.166598945,1.0008796780412,rh__mavg,4
rh,mavg,75.24823056,0.46,10,76.166598945,1.00083862007335,rh__mavg,4
rh,mavg,75.9425018,0.49,0,76.166598945,0.999623944765038,rh__mavg,4
rh,mavg,75.9425018,0.49,1,76.166598945,0.999750200680816,rh__mavg,4
rh,mavg,75.9425018,0.49,2,76.166598945,0.999871070737343,rh__mavg,4
rh,mavg,75.9425018,0.49,3,76.166598945,0.999981150576883,rh__mavg,4
rh,mavg,75.9425018,0.49,4,76.166598945,1.00007503372485,rh__mavg,4
rh,mavg,75.9425018,0.49,5,76.166598945,1.00014731231907,rh__mavg,4
rh,mavg,75.9425018,0.49,6,76.166598945,1.00019437930911,rh__mavg,4
rh,mavg,75.9425018,0.49,7,76.166598945,1.00021983357897,rh__mavg,4
rh,mavg,75.9425018,0.49,8,76.166598945,1.00022907718924,rh__mavg,4
rh,mavg,75.9425018,0.49,9,76.166598945,1.00022751339277,rh__mavg,4
rh,mavg,75.9425018,0.49,10,76.166598945,1.0002205459049,rh__mavg,4
rh,mavg,76.6071863461,0.52,0,76.166598945,1.0006278223675,rh__mavg,4
rh,mavg,76.6071863461,0.52,1,76.166598945,1.00040131283705,rh__mavg,4
rh,mavg,76.6071863461,0.52,2,76.166598945,1.0001843756575,rh__mavg,4
rh,mavg,76.6071863461,0.52,3,76.166598945,0.999986523816404,rh__mavg,4
rh,mavg,76.6071863461,0.52,4,76.166598945,0.999817263587233,rh__mavg,4
rh,mavg,76.6071863461,0.52,5,76.166598945,0.999686096796922,rh__mavg,4
rh,mavg,76.6071863461,0.52,6,76.166598945,0.999599352141159,rh__mavg,4
rh,mavg,76.6071863461,0.52,7,76.166598945,0.999550674645409,rh__mavg,4
rh,mavg,76.6071863461,0.52,8,76.166598945,0.999530543805841,rh__mavg,4
rh,mavg,76.6071863461,0.52,9,76.166598945,0.999529442965145,rh__mavg,4
rh,mavg,76.6071863461,0.52,10,76.166598945,0.999537857047764,rh__mavg,4
rh,mavg,77.2587424713556,0.55,0,76.166598945,1.00130418097746,rh__mavg,4
rh,mavg,77.2587424713556,0.55,1,76.166598945,1.00079244705731,rh__mavg,4
rh,mavg,77.2587424713556,0.55,2,76.166598945,1.00030213947684,rh__mavg,4
rh,mavg,77.2587424713556,0.55,3,76.166598945,0.999854382330608,rh__mavg,4
rh,mavg,77.2587424713556,0.55,4,76.166598945,0.999470265892088,rh__mavg,4
rh,mavg,77.2587424713556,0.55,5,76.166598945,0.99917085782885,rh__mavg,4
rh,mavg,77.2587424713556,0.55,6,76.166598945,0.998970173224263,rh__mavg,4
rh,mavg,77.2587424713556,0.55,7,76.166598945,0.998854062925099,rh__mavg,4
rh,mavg,77.2587424713556,0.55,8,76.166598945,0.998801363945424,rh__mavg,4
rh,mavg,77.2587424713556,0.55,9,76.166598945,0.998790932967845,rh__mavg,4
rh,mavg,77.2587424713556,0.55,10,76.166598945,0.998801635160076,rh__mavg,4
rh,mavg,77.91451340008,0.58,0,76.166598945,1.0017157742939,rh__mavg,4
rh,mavg,77.91451340008,0.58,1,76.166598945,1.00097128190061,rh__mavg,4
rh,mavg,77.91451340008,0.58,2,76.166598945,1.00025770560699,rh__mavg,4
rh,mavg,77.91451340008,0.58,3,76.166598945,0.999605323043474,rh__mavg,4
rh,mavg,77.91451340008,0.58,4,76.166598945,0.999044341057152,rh__mavg,4
rh,mavg,77.91451340008,0.58,5,76.166598945,0.998604918814501,rh__mavg,4
rh,mavg,77.91451340008,0.58,6,76.166598945,0.998307098636479,rh__mavg,4
rh,mavg,77.91451340008,0.58,7,76.166598945,0.998130554603256,rh__mavg,4
rh,mavg,77.91451340008,0.58,8,76.166598945,0.998044925865664,rh__mavg,4
rh,mavg,77.91451340008,0.58,9,76.166598945,0.998019893257308,rh__mavg,4
rh,mavg,77.91451340008,0.58,10,76.166598945,0.99802515628798,rh__mavg,4
rh,mavg,78.56541275372,0.61,0,76.166598945,1.00189599153255,rh__mavg,4
rh,mavg,78.56541275372,0.61,1,76.166598945,1.00096798891187,rh__mavg,4
rh,mavg,78.56541275372,0.61,2,76.166598945,1.00007830071995,rh__mavg,4
rh,mavg,78.56541275372,0.61,3,76.166598945,0.999264250669776,rh__mavg,4
rh,mavg,78.56541275372,0.61,4,76.166598945,0.998563053405385,rh__mavg,4
rh,mavg,78.56541275372,0.61,5,76.166598945,0.998011849689788,rh__mavg,4
rh,mavg,78.56541275372,0.61,6,76.166598945,0.997635300679798,rh__mavg,4
rh,mavg,78.56541275372,0.61,7,76.166598945,0.997408304839982,rh__mavg,4
rh,mavg,78.56541275372,0.61,8,76.166598945,0.997293408162917,rh__mavg,4
rh,mavg,78.56541275372,0.61,9,76.166598945,0.99725322145247,rh__mavg,4
rh,mavg,78.56541275372,0.61,10,76.166598945,0.997250385320091,rh__mavg,4
rh,mavg,79.216640095,0.64,0,76.166598945,1.00188743054589,rh__mavg,4
rh,mavg,79.216640095,0.64,1,76.166598945,1.00081676862701,rh__mavg,4
rh,mavg,79.216640095,0.64,2,76.166598945,0.999790234289467,rh__mavg,4
rh,mavg,79.216640095,0.64,3,76.166598945,0.998850637075114,rh__mavg,4
rh,mavg,79.216640095,0.64,4,76.166598945,0.99804064196879,rh__mavg,4
rh,mavg,79.216640095,0.64,5,76.166598945,0.99740281578033,rh__mavg,4
rh,mavg,79.216640095,0.64,6,76.166598945,0.99696540400964,rh__mavg,4
rh,mavg,79.216640095,0.64,7,76.166598945,0.996699575208735,rh__mavg,4
rh,mavg,79.216640095,0.64,8,76.166598945,0.996562345709245,rh__mavg,4
rh,mavg,79.216640095,0.64,9,76.166598945,0.996510818129743,rh__mavg,4
rh,mavg,79.216640095,0.64,10,76.166598945,0.996502135274991,rh__mavg,4
rh,mavg,79.8512010497667,0.67,0,76.166598945,1.0017343780746,rh__mavg,4
rh,mavg,79.8512010497667,0.67,1,76.166598945,1.00055791703765,rh__mavg,4
rh,mavg,79.8512010497667,0.67,2,76.166598945,0.999430143484245,rh__mavg,4
rh,mavg,79.8512010497667,0.67,3,76.166598945,0.998398152802637,rh__mavg,4
rh,mavg,79.8512010497667,0.67,4,76.166598945,0.997508865668304,rh__mavg,4
rh,mavg,79.8512010497667,0.67,5,76.166598945,0.996809084264385,rh__mavg,4
rh,mavg,79.8512010497667,0.67,6,76.166598945,0.996329850358393,rh__mavg,4
rh,mavg,79.8512010497667,0.67,7,76.166598945,0.99603941477063,rh__mavg,4
rh,mavg,79.8512010497667,0.67,8,76.166598945,0.995890471983289,rh__mavg,4
rh,mavg,79.8512010497667,0.67,9,76.166598945,0.99583582061699,rh__mavg,4
rh,mavg,79.8512010497667,0.67,10,76.166598945,0.995828307584146,rh__mavg,4
rh,mavg,80.4984939968571,0.7,0,76.166598945,1.00146871943409,rh__mavg,4
rh,mavg,80.4984939968571,0.7,1,76.166598945,1.00021178910782,rh__mavg,4
rh,mavg,80.4984939968571,0.7,2,76.166598945,0.999007518864987,rh__mavg,4
rh,mavg,80.4984939968571,0.7,3,76.166598945,0.99790674845393,rh__mavg,4
rh,mavg,80.4984939968571,0.7,4,76.166598945,0.996960116630901,rh__mavg,4
rh,mavg,80.4984939968571,0.7,5,76.166598945,0.996218126754915,rh__mavg,4
rh,mavg,80.4984939968571,0.7,6,76.166598945,0.995714266115703,rh__mavg,4
rh,mavg,80.4984939968571,0.7,7,76.166598945,0.995414239862448,rh__mavg,4
rh,mavg,80.4984939968571,0.7,8,76.166598945,0.995266969986021,rh__mavg,4
rh,mavg,80.4984939968571,0.7,9,76.166598945,0.995221497165598,rh__mavg,4
rh,mavg,80.4984939968571,0.7,10,76.166598945,0.995226915634745,rh__mavg,4
rh,mavg,81.170741396875,0.73,0,76.166598945,1.00111638665433,rh__mavg,4
rh,mavg,81.170741396875,0.73,1,76.166598945,0.999798380120014,rh__mavg,4
rh,mavg,81.170741396875,0.73,2,76.166598945,0.99853692407939,rh__mavg,4
rh,mavg,81.170741396875,0.73,3,76.166598945,0.997386560904849,rh__mavg,4
rh,mavg,81.170741396875,0.73,4,76.166598945,0.99640160820735,rh__mavg,4
rh,mavg,81.170741396875,0.73,5,76.166598945,0.995636234400141,rh__mavg,4
rh,mavg,81.170741396875,0.73,6,76.166598945,0.99512635381682,rh__mavg,4
rh,mavg,81.170741396875,0.73,7,76.166598945,0.994835164681267,rh__mavg,4
rh,mavg,81.170741396875,0.73,8,76.166598945,0.994707867033191,rh__mavg,4
rh,mavg,81.170741396875,0.73,9,76.166598945,0.994689790874256,rh__mavg,4
rh,mavg,81.170741396875,0.73,10,76.166598945,0.99472632114808,rh__mavg,4
rh,mavg,81.8882694085143,0.76,0,76.166598945,1.00070169200385,rh__mavg,4
rh,mavg,81.8882694085143,0.76,1,76.166598945,0.999335793054569,rh__mavg,4
rh,mavg,81.8882694085143,0.76,2,76.166598945,0.998030910423169,rh__mavg,4
rh,mavg,81.8882694085143,0.76,3,76.166598945,0.996845891563845,rh__mavg,4
rh,mavg,81.8882694085143,0.76,4,76.166598945,0.995839335413933,rh__mavg,4
rh,mavg,81.8882694085143,0.76,5,76.166598945,0.995069680405317,rh__mavg,4
rh,mavg,81.8882694085143,0.76,6,76.166598945,0.994575677094,rh__mavg,4
rh,mavg,81.8882694085143,0.76,7,76.166598945,0.994317625534148,rh__mavg,4
rh,mavg,81.8882694085143,0.76,8,76.166598945,0.994236411604702,rh__mavg,4
rh,mavg,81.8882694085143,0.76,9,76.166598945,0.994273059262773,rh__mavg,4
rh,mavg,81.8882694085143,0.76,10,76.166598945,0.994368643160198,rh__mavg,4
rh,mavg,82.66585142856,0.79,0,76.166598945,1.00024264921686,rh__mavg,4
rh,mavg,82.66585142856,0.79,1,76.166598945,0.998838820215809,rh__mavg,4
rh,mavg,82.66585142856,0.79,2,76.166598945,0.997501631357495,rh__mavg,4
rh,mavg,82.66585142856,0.79,3,76.166598945,0.996295411831309,rh__mavg,4
rh,mavg,82.66585142856,0.79,4,76.166598945,0.995284216742556,rh__mavg,4
rh,mavg,82.66585142856,0.79,5,76.166598945,0.994531932306725,rh__mavg,4
rh,mavg,82.66585142856,0.79,6,76.166598945,0.994080938609062,rh__mavg,4
rh,mavg,82.66585142856,0.79,7,76.166598945,0.993887866752712,rh__mavg,4
rh,mavg,82.66585142856,0.79,8,76.166598945,0.993888126707072,rh__mavg,4
rh,mavg,82.66585142856,0.79,9,76.166598945,0.994017270458191,rh__mavg,4
rh,mavg,82.66585142856,0.79,10,76.166598945,0.994210887529891,rh__mavg,4
rh,mavg,83.4958086685714,0.82,0,76.166598945,0.999745112182361,rh__mavg,4
rh,mavg,83.4958086685714,0.82,1,76.166598945,0.998315625265509,rh__mavg,4
rh,mavg,83.4958086685714,0.82,2,76.166598945,0.996959675605786,rh__mavg,4
rh,mavg,83.4958086685714,0.82,3,76.166598945,0.995748375405723,rh__mavg,4
rh,mavg,83.4958086685714,0.82,4,76.166598945,0.994752536661441,rh__mavg,4
rh,mavg,83.4958086685714,0.82,5,76.166598945,0.994042799697497,rh__mavg,4
rh,mavg,83.4958086685714,0.82,6,76.166598945,0.993666058598775,rh__mavg,4
rh,mavg,83.4958086685714,0.82,7,76.166598945,0.993574431801034,rh__mavg,4
rh,mavg,83.4958086685714,0.82,8,76.166598945,0.993696576028641,rh__mavg,4
rh,mavg,83.4958086685714,0.82,9,76.166598945,0.99396128673019,rh__mavg,4
rh,mavg,83.4958086685714,0.82,10,76.166598945,0.994297370333845,rh__mavg,4
rh,mavg,84.3706055315758,0.85,0,76.166598945,0.999212672361672,rh__mavg,4
rh,mavg,84.3706055315758,0.85,1,76.166598945,0.99777187234844,rh__mavg,4
rh,mavg,84.3706055315758,0.85,2,76.166598945,0.99641282587115,rh__mavg,4
rh,mavg,84.3706055315758,0.85,3,76.166598945,0.995214784555843,rh__mavg,4
rh,mavg,84.3706055315758,0.85,4,76.166598945,0.994256675390213,rh__mavg,4
rh,mavg,84.3706055315758,0.85,5,76.166598945,0.993617260310981,rh__mavg,4
rh,mavg,84.3706055315758,0.85,6,76.166598945,0.993348880079037,rh__mavg,4
rh,mavg,84.3706055315758,0.85,7,76.166598945,0.99339827400247,rh__mavg,4
rh,mavg,84.3706055315758,0.85,8,76.166598945,0.993686025179982,rh__mavg,4
rh,mavg,84.3706055315758,0.85,9,76.166598945,0.994132840714915,rh__mavg,4
rh,mavg,84.3706055315758,0.85,10,76.166598945,0.994659392948617,rh__mavg,4
rh,mavg,85.35592591625,0.88,0,76.166598945,0.998603693883462,rh__mavg,4
rh,mavg,85.35592591625,0.88,1,76.166598945,0.997168365521938,rh__mavg,4
rh,mavg,85.35592591625,0.88,2,76.166598945,0.995825139680296,rh__mavg,4
rh,mavg,85.35592591625,0.88,3,76.166598945,0.994663583981029,rh__mavg,4
rh,mavg,85.35592591625,0.88,4,76.166598945,0.993772920526573,rh__mavg,4
rh,mavg,85.35592591625,0.88,5,76.166598945,0.993242229624084,rh__mavg,4
rh,mavg,85.35592591625,0.88,6,76.166598945,0.9931307999978,rh__mavg,4
rh,mavg,85.35592591625,0.88,7,76.166598945,0.993378607203834,rh__mavg,4
rh,mavg,85.35592591625,0.88,8,76.166598945,0.993896047014952,rh__mavg,4
rh,mavg,85.35592591625,0.88,9,76.166598945,0.9945936044638,rh__mavg,4
rh,mavg,85.35592591625,0.88,10,76.166598945,0.995381650860207,rh__mavg,4
rh,mavg,86.490493427775,0.91,0,76.166598945,0.997891170421874,rh__mavg,4
rh,mavg,86.490493427775,0.91,1,76.166598945,0.996484413077104,rh__mavg,4
rh,mavg,86.490493427775,0.91,2,76.166598945,0.995183014131134,rh__mavg,4
rh,mavg,86.490493427775,0.91,3,76.166598945,0.994089827463169,rh__mavg,4
rh,mavg,86.490493427775,0.91,4,76.166598945,0.993307350728325,rh__mavg,4
rh,mavg,86.490493427775,0.91,5,76.166598945,0.992937993814557,rh__mavg,4
rh,mavg,86.490493427775,0.91,6,76.166598945,0.993050066461791,rh__mavg,4
rh,mavg,86.490493427775,0.91,7,76.166598945,0.993574920273021,rh__mavg,4
rh,mavg,86.490493427775,0.91,8,76.166598945,0.994409904124831,rh__mavg,4
rh,mavg,86.490493427775,0.91,9,76.166598945,0.995452385405236,rh__mavg,4
rh,mavg,86.490493427775,0.91,10,76.166598945,0.996599481949066,rh__mavg,4
rh,mavg,87.9177604333333,0.94,0,76.166598945,0.99697919214776,rh__mavg,4
rh,mavg,87.9177604333333,0.94,1,76.166598945,0.995639303583603,rh__mavg,4
rh,mavg,87.9177604333333,0.94,2,76.166598945,0.994423315371934,rh__mavg,4
rh,mavg,87.9177604333333,0.94,3,76.166598945,0.993452758170804,rh__mavg,4
rh,mavg,87.9177604333333,0.94,4,76.166598945,0.992848822195806,rh__mavg,4
rh,mavg,87.9177604333333,0.94,5,76.166598945,0.992732731708914,rh__mavg,4
rh,mavg,87.9177604333333,0.94,6,76.166598945,0.993185615698209,rh__mavg,4
rh,mavg,87.9177604333333,0.94,7,76.166598945,0.994126869225468,rh__mavg,4
rh,mavg,87.9177604333333,0.94,8,76.166598945,0.99543564149759,rh__mavg,4
rh,mavg,87.9177604333333,0.94,9,76.166598945,0.996990951497254,rh__mavg,4
rh,mavg,87.9177604333333,0.94,10,76.166598945,0.998671312776867,rh__mavg,4
rh,mavg,89.92292729,0.97,0,76.166598945,0.995672260731459,rh__mavg,4
rh,mavg,89.92292729,0.97,1,76.166598945,0.994477454205632,rh__mavg,4
rh,mavg,89.92292729,0.97,2,76.166598945,0.993435709797266,rh__mavg,4
rh,mavg,89.92292729,0.97,3,76.166598945,0.992698065046836,rh__mavg,4
rh,mavg,89.92292729,0.97,4,76.166598945,0.99241531647804,rh__mavg,4
rh,mavg,89.92292729,0.97,5,76.166598945,0.992738597494865,rh__mavg,4
rh,mavg,89.92292729,0.97,6,76.166598945,0.993769622583071,rh__mavg,4
rh,mavg,89.92292729,0.97,7,76.166598945,0.995409297655611,rh__mavg,4
rh,mavg,89.92292729,0.97,8,76.166598945,0.997508358285538,rh__mavg,4
rh,mavg,89.92292729,0.97,9,76.166598945,0.999917057196279,rh__mavg,4
rh,mavg,89.92292729,0.97,10,76.166598945,1.00248458191121,rh__mavg,4
ssr,lag,1.047656,0.01,0,12.951992,0.956852980416218,ssr__lag,5
ssr,lag,1.047656,0.01,1,12.951992,0.962654768231259,ssr__lag,5
ssr,lag,1.047656,0.01,2,12.951992,0.968325273164804,ssr__lag,5
ssr,lag,1.047656,0.01,3,12.951992,0.973694382436821,ssr__lag,5
ssr,lag,1.047656,0.01,4,12.951992,0.978588497875401,ssr__lag,5
ssr,lag,1.047656,0.01,5,12.951992,0.982831217929253,ssr__lag,5
ssr,lag,1.047656,0.01,6,12.951992,0.986300842335553,ssr__lag,5
ssr,lag,1.047656,0.01,7,12.951992,0.989102407127245,ssr__lag,5
ssr,lag,1.047656,0.01,8,12.951992,0.991400556997876,ssr__lag,5
ssr,lag,1.047656,0.01,9,12.951992,0.99336248612298,ssr__lag,5
ssr,lag,1.047656,0.01,10,12.951992,0.995157223738429,ssr__lag,5
ssr,lag,1.68580608,0.04,0,12.951992,0.957930631376046,ssr__lag,5
ssr,lag,1.68580608,0.04,1,12.951992,0.964471142722563,ssr__lag,5
ssr,lag,1.68580608,0.04,2,12.951992,0.970815091082678,ssr__lag,5
ssr,lag,1.68580608,0.04,3,12.951992,0.97671533536146,ssr__lag,5
ssr,lag,1.68580608,0.04,4,12.951992,0.981919320042341,ssr__lag,5
