variable,exposure,exposure_type,window,term,coefficient,coefficient_sd,RR,lower_95_CrI,upper_95_CrI,n_rows,n_strata,DIC,WAIC,pc_prior_U,pc_prior_alpha,elapsed_seconds,model_key,specification_order,status,error_message
tp,Total precipitation,mavg,6,tp_mavg6,-0.000807301746479688,0.00112473820435764,0.999193024033902,0.996991732112343,1.0013991762574,128557,29147,144790.308036154,144789.111849209,3,0.01,6.32000000000005,tp__mavg__06,122,ok,
tp,Total precipitation,mavg,7,tp_mavg7,-0.000572502668513188,0.00117106186254034,0.99942766117987,0.997135272343405,1.00172532015481,128557,29147,144790.578817692,144789.383373974,3,0.01,6.17000000000007,tp__mavg__07,123,ok,
tp,Total precipitation,mavg,8,tp_mavg8,-0.000100833118519514,0.00121859031133393,0.999899171964968,0.997512730526863,1.00229132270112,128557,29147,144790.799702572,144789.602824114,3,0.01,6.42999999999995,tp__mavg__08,124,ok,
tp,Total precipitation,mavg,9,tp_mavg9,0.000275424418678872,0.00126524686835163,1.00027546235147,0.997796831336456,1.00276025053885,128557,29147,144790.750525292,144789.551758246,3,0.01,6.17999999999995,tp__mavg__09,125,ok,
tp,Total precipitation,mavg,10,tp_mavg10,-0.000192080054502884,0.00131248379900997,0.99980793839169,0.997238090488913,1.00238440869692,128557,29147,144790.786948515,144789.589782601,3,0.01,6.25,tp__mavg__10,126,ok,
PM25,PM2.5,lag,0,PM25,0.000331846142371449,0.000177387828972793,1.00033190120939,0.999984006331333,1.00067991712235,128557,29147,144787.259704717,144786.040239237,3,0.01,6.12000000000001,PM25__lag__00,127,ok,
PM25,PM2.5,lag,1,PM25_lag1,0.00037299535575108,0.00017809175844411,1.00037306492717,1.00002377536367,1.0007224764933,128557,29147,144786.373327621,144785.154226403,3,0.01,6.16999999999996,PM25__lag__01,128,ok,
PM25,PM2.5,lag,2,PM25_lag2,0.000270088579860032,0.000178741169422585,1.00027012505706,0.999919598106793,1.00062077488821,128557,29147,144788.478106366,144787.254639166,3,0.01,6.13,PM25__lag__02,129,ok,
PM25,PM2.5,lag,3,PM25_lag3,6.22180513465182e-05,0.000180485645731549,1.00006221998693,0.999708346139668,1.00041621909841,128557,29147,144790.672976012,144789.448375307,3,0.01,6.17999999999995,PM25__lag__03,130,ok,
PM25,PM2.5,lag,4,PM25_lag4,0.000113278225412076,0.000180187665822467,1.00011328464163,0.999759976893765,1.00046671724699,128557,29147,144790.387190442,144789.177756538,3,0.01,6.32999999999993,PM25__lag__04,131,ok,
PM25,PM2.5,lag,5,PM25_lag5,0.000131708452459727,0.000181764978066517,1.0001317171264,0.999775310604203,1.00048825070387,128557,29147,144790.254336028,144789.0443484,3,0.01,6.12000000000001,PM25__lag__05,132,ok,
PM25,PM2.5,lag,6,PM25_lag6,-5.57713449990419e-05,0.000182459609426391,0.999944230210193,0.999586528959252,1.00030205946424,128557,29147,144790.721409803,144789.521194527,3,0.01,6.38999999999999,PM25__lag__06,133,ok,
PM25,PM2.5,lag,7,PM25_lag7,-8.95253915120523e-05,0.000182507581077489,0.999910478615766,0.999552695412804,1.00026838988462,128557,29147,144790.580431044,144789.375190985,3,0.01,6.1099999999999,PM25__lag__07,134,ok,
PM25,PM2.5,lag,8,PM25_lag8,-7.85880328589973e-05,0.000182988736381604,0.9999214150551,0.999562684853299,1.00028027400046,128557,29147,144790.634702106,144789.424481481,3,0.01,6.18999999999994,PM25__lag__08,135,ok,
PM25,PM2.5,lag,9,PM25_lag9,-0.000239208248560865,0.000183965125354362,0.999760820359451,0.999400234316554,1.00012153650191,128557,29147,144789.153185624,144787.933228108,3,0.01,6.13999999999999,PM25__lag__09,136,ok,
PM25,PM2.5,lag,10,PM25_lag10,-0.000245346936800113,0.000184372586888107,0.999754683158298,0.999393300821644,1.00011619617057,128557,29147,144789.073903267,144787.860053048,3,0.01,6.18000000000006,PM25__lag__10,137,ok,
PM25,PM2.5,mavg,1,PM25_mavg1,0.000382336918965715,0.000185152997494751,1.00038241001904,1.00001927044061,1.00074568146795,128557,29147,144786.492808069,144785.273658673,3,0.01,6.25999999999999,PM25__mavg__01,138,ok,
PM25,PM2.5,mavg,2,PM25_mavg2,0.000374990351588567,0.000191246229012845,1.00037506066926,0.999999975464961,1.00075028656535,128557,29147,144786.910102298,144785.690224774,3,0.01,6.13,PM25__mavg__02,139,ok,
PM25,PM2.5,mavg,3,PM25_mavg3,0.000315933872740406,0.00019679122070922,1.0003159837851,0.999930048254012,1.00070206827563,128557,29147,144788.179173682,144786.959390437,3,0.01,6.13999999999999,PM25__mavg__03,140,ok,
PM25,PM2.5,mavg,4,PM25_mavg4,0.000292836639699049,0.000201352236194199,1.00029287952053,0.999898010076554,1.00068790490512,128557,29147,144788.643221071,144787.426240566,3,0.01,6.20000000000005,PM25__mavg__04,141,ok,
PM25,PM2.5,mavg,5,PM25_mavg5,0.000282259249318739,0.000205500796006468,1.00028229908821,0.99987929985537,1.00068546075193,128557,29147,144788.872830277,144787.658704982,3,0.01,6.33000000000004,PM25__mavg__05,142,ok,
PM25,PM2.5,mavg,6,PM25_mavg6,0.000239887886228593,0.000209139172976945,1.00023991666163,0.999829801196367,1.00065020035287,128557,29147,144789.449007166,144788.237923331,3,0.01,6.27999999999997,PM25__mavg__06,143,ok,
PM25,PM2.5,mavg,7,PM25_mavg7,0.000200921058694434,0.000212276916968723,1.00020094124468,0.999784690260938,1.00061736553303,128557,29147,144789.874468345,144788.664609509,3,0.01,6.07999999999993,PM25__mavg__07,144,ok,
PM25,PM2.5,mavg,8,PM25_mavg8,0.000171253852083558,0.00021512128092205,1.00017126851686,0.999749453748099,1.00059326126014,128557,29147,144790.141244489,144788.931732611,3,0.01,6.16999999999996,PM25__mavg__08,145,ok,
PM25,PM2.5,mavg,9,PM25_mavg9,0.000123935137494283,0.000217638135908632,1.00012394281777,0.999697214187247,1.00055085360267,128557,29147,144790.458400992,144789.24814748,3,0.01,6.13,PM25__mavg__09,146,ok,
PM25,PM2.5,mavg,10,PM25_mavg10,8.29714541125878e-05,0.000219821187278834,1.00008297489634,0.999651984479048,1.00051415113261,128557,29147,144790.647144406,144789.436207066,3,0.01,6.36000000000001,PM25__mavg__10,147,ok,
PM10,PM10,lag,0,PM10,0.000350813146774738,0.000126219738648691,1.0003508746889,1.0001033140948,1.00059849656494,128557,29147,144783.034137977,144781.816492208,3,0.01,6.21999999999991,PM10__lag__00,148,ok,
PM10,PM10,lag,1,PM10_lag1,0.000319659293161367,0.000127165445068287,1.00031971038964,1.0000703029392,1.00056918004161,128557,29147,144784.434136316,144783.215720882,3,0.01,6.16999999999996,PM10__lag__01,149,ok,
PM10,PM10,lag,2,PM10_lag2,0.000261881261836364,0.000127618514729087,1.00026191555573,1.00001163407963,1.00051225967352,128557,29147,144786.538614823,144785.308408196,3,0.01,6.20999999999992,PM10__lag__02,150,ok,
PM10,PM10,lag,3,PM10_lag3,0.000152264339705391,0.000128623573523048,1.00015227593251,0.999900051264227,1.00040456422567,128557,29147,144789.362314885,144788.133570522,3,0.01,6.20000000000005,PM10__lag__03,151,ok,
PM10,PM10,lag,4,PM10_lag4,0.000159682762091145,0.00012835619527034,1.00015969551206,0.999907993226532,1.00041146115871,128557,29147,144789.214856851,144788.004332713,3,0.01,6.22000000000003,PM10__lag__04,152,ok,
PM10,PM10,lag,5,PM10_lag5,0.00018359471008574,0.000129292487580928,1.00018361156463,0.999930067410672,1.00043722000895,128557,29147,144788.74172447,144787.533725642,3,0.01,6.16999999999985,PM10__lag__05,153,ok,
PM10,PM10,lag,6,PM10_lag6,4.49716367044993e-05,0.000129107588024596,1.00004497264794,0.999791826132362,1.00029818326044,128557,29147,144790.669741403,144789.466464881,3,0.01,6.15000000000009,PM10__lag__06,154,ok,
PM10,PM10,lag,7,PM10_lag7,-4.63842886171336e-05,0.000129298422930108,0.999953616787117,0.999700119300502,1.00020717855393,128557,29147,144790.688679229,144789.475663281,3,0.01,6.20000000000005,PM10__lag__07,155,ok,
PM10,PM10,lag,8,PM10_lag8,5.24709395038017e-05,0.000129390575040133,1.00005247231613,0.99979876910414,1.00030623990677,128557,29147,144790.624382256,144789.416635095,3,0.01,6.6400000000001,PM10__lag__08,156,ok,
PM10,PM10,lag,9,PM10_lag9,-0.000109512467265219,0.000130731043649541,0.999890493529006,0.999634203841122,1.00014684892506,128557,29147,144790.132742887,144788.918463537,3,0.01,6.2800000000002,PM10__lag__09,157,ok,
PM10,PM10,lag,10,PM10_lag10,-0.000119433606616189,0.00013108951887212,0.999880573525293,0.999623583710036,1.00013762940884,128557,29147,144790.006780109,144788.799090766,3,0.01,6.50999999999999,PM10__lag__10,158,ok,
PM10,PM10,mavg,1,PM10_mavg1,0.000366821965283114,0.000132536791718575,1.00036688925269,1.00010693617963,1.00062690989646,128557,29147,144783.090575299,144781.874378123,3,0.01,7.84000000000015,PM10__mavg__01,159,ok,
PM10,PM10,mavg,2,PM10_mavg2,0.000362781964459089,0.000137195042247286,1.00036284777779,1.00009376048958,1.00063200746974,128557,29147,144783.75156997,144782.531134384,3,0.01,7.96000000000004,PM10__mavg__02,160,ok,
PM10,PM10,mavg,3,PM10_mavg3,0.000334336980538792,0.000141296699715659,1.00033439287738,1.00005726980681,1.00061159274339,128557,29147,144785.140640072,144783.91911212,3,0.01,7.25,PM10__mavg__03,161,ok,
PM10,PM10,mavg,4,PM10_mavg4,0.000320637608642781,0.000144615765561074,1.00032068901838,1.00003706112291,1.00060439735841,128557,29147,144785.822463027,144784.603757793,3,0.01,7.45000000000005,PM10__mavg__04,162,ok,
PM10,PM10,mavg,5,PM10_mavg5,0.000318247090758373,0.00014761457723288,1.00031829773674,1.00002878996049,1.00060788932823,128557,29147,144786.089104451,144784.873745502,3,0.01,7.25999999999999,PM10__mavg__05,163,ok,
PM10,PM10,mavg,6,PM10_mavg6,0.000290977288772914,0.000150199744103531,1.00029101962677,0.999996450494488,1.00058567553316,128557,29147,144786.986369472,144785.773589093,3,0.01,6.91999999999985,PM10__mavg__06,164,ok,
PM10,PM10,mavg,7,PM10_mavg7,0.000253822169163093,0.000152396555534144,1.00025385438474,0.999954988652174,1.00055280944467,128557,29147,144787.970609135,144786.758560556,3,0.01,6.97000000000003,PM10__mavg__07,165,ok,
PM10,PM10,mavg,8,PM10_mavg8,0.000239781914683993,0.000154371069471848,1.00023981066467,0.999937077538324,1.0005426354467,128557,29147,144788.33424149,144787.12283262,3,0.01,7.03999999999996,PM10__mavg__08,166,ok,
PM10,PM10,mavg,9,PM10_mavg9,0.000205022654147321,0.000156173215071526,1.00020504367273,0.999898787591506,1.0005113935586,128557,29147,144789.030168192,144787.818815225,3,0.01,7.19999999999982,PM10__mavg__09,167,ok,
PM10,PM10,mavg,10,PM10_mavg10,0.000174300840543712,0.000157765196564846,1.00017431603182,0.999864948057987,1.00048377972928,128557,29147,144789.539576835,144788.328264513,3,0.01,6.6400000000001,PM10__mavg__10,168,ok,
O3,O3,lag,0,O3,0.000212939918351968,0.000143624584166999,1.00021296259167,0.999931308712721,1.00049469580585,128557,29147,144788.548135849,144787.334624086,3,0.01,6.16000000000008,O3__lag__00,169,ok,
O3,O3,lag,1,O3_lag1,0.000188063817691375,0.000144027390998977,1.0001880815028,0.999905644839941,1.00047059794405,128557,29147,144789.047495882,144787.830446661,3,0.01,6.15999999999985,O3__lag__01,170,ok,
O3,O3,lag,2,O3_lag2,0.000246844337285141,0.000143498879874584,1.00024687480586,0.999965457862188,1.00052837094792,128557,29147,144787.779663277,144786.560581376,3,0.01,6.19000000000006,O3__lag__02,171,ok,
O3,O3,lag,3,O3_lag3,0.000236004492981108,0.000143488968049793,1.00023603234423,0.999954637886246,1.00051750598874,128557,29147,144788.035750759,144786.818059834,3,0.01,6.22999999999979,O3__lag__03,172,ok,
O3,O3,lag,4,O3_lag4,0.000224430948091787,0.00014372085848758,1.0002244561346,0.99994261024534,1.00050638146595,128557,29147,144788.304778696,144787.08861833,3,0.01,6.21000000000004,O3__lag__04,173,ok,
O3,O3,lag,5,O3_lag5,5.89030216724753e-05,0.000143679631914491,1.00005890475649,0.99977718633984,1.00034070255632,128557,29147,144790.619071508,144789.400206665,3,0.01,6.16999999999985,O3__lag__05,174,ok,
O3,O3,lag,6,O3_lag6,-4.77733943759022e-05,0.000143473141170994,0.999952227746754,0.999670944155621,1.00023359048434,128557,29147,144790.706578035,144789.488049419,3,0.01,6.24000000000001,O3__lag__06,175,ok,
O3,O3,lag,7,O3_lag7,-1.86842238909922e-05,0.000143388781333062,0.999981315950658,0.999700189548762,1.00026252140825,128557,29147,144790.792245104,144789.577122081,3,0.01,6.29999999999996,O3__lag__07,176,ok,
O3,O3,lag,8,O3_lag8,-2.81659593382385e-05,0.000143722147596259,0.999971834437319,0.999690057205048,1.00025369109226,128557,29147,144790.773534688,144789.557123754,3,0.01,6.57999999999993,O3__lag__08,177,ok,
O3,O3,lag,9,O3_lag9,2.15141725492961e-05,0.000143717865250333,1.00002151440398,0.999739731567552,1.000303376662,128557,29147,144790.77532116,144789.556529265,3,0.01,5.89999999999986,O3__lag__09,178,ok,
O3,O3,lag,10,O3_lag10,-5.55689885811304e-05,0.000144243119924606,0.999944432555347,0.999661641814195,1.00022730329303,128557,29147,144790.671352696,144789.454426303,3,0.01,6.25,O3__lag__10,179,ok,
O3,O3,mavg,1,O3_mavg1,0.000224107825113195,0.000152033589864757,1.00022413293915,0.999925987772933,1.0005223670033,128557,29147,144788.570449598,144787.35522043,3,0.01,6.25,O3__mavg__01,180,ok,
O3,O3,mavg,2,O3_mavg2,0.0002609740050658,0.000157953667074005,1.00026100806174,0.999951243718173,1.00057086836473,128557,29147,144788.004521843,144786.788125134,3,0.01,6.52999999999997,O3__mavg__02,181,ok,
O3,O3,mavg,3,O3_mavg3,0.000283420634941028,0.000162669355304028,1.00028346080236,0.999964442794652,1.00060258058696,128557,29147,144787.693139743,144786.476745147,3,0.01,6.16000000000008,O3__mavg__03,182,ok,
O3,O3,mavg,4,O3_mavg4,0.000298486711552613,0.000166699223695263,1.00029853126314,0.99997160647001,1.00062556294004,128557,29147,144787.518722485,144786.303027393,3,0.01,6.14999999999986,O3__mavg__04,183,ok,
O3,O3,mavg,5,O3_mavg5,0.000273073266621925,0.000170213317483415,1.00027311055452,0.999939303674682,1.0006070288691,128557,29147,144788.157055584,144786.941692486,3,0.01,6.27999999999997,O3__mavg__05,184,ok,
O3,O3,mavg,6,O3_mavg6,0.00023265069897174,0.000173319624499567,1.00023267776424,0.999892793851903,1.00057267721093,128557,29147,144788.939203828,144787.724605105,3,0.01,6.20000000000005,O3__mavg__06,185,ok,
O3,O3,mavg,7,O3_mavg7,0.000206371584978945,0.000175999172692956,1.00020639288106,0.999861264287324,1.00055164060591,128557,29147,144789.372936175,144788.158937345,3,0.01,6.40000000000009,O3__mavg__07,186,ok,
O3,O3,mavg,8,O3_mavg8,0.000183862228219611,0.000178504328567106,1.00018387913192,0.999833846748579,1.00053403405901,128557,29147,144789.692887433,144788.47889508,3,0.01,6.18999999999983,O3__mavg__08,187,ok,
O3,O3,mavg,9,O3_mavg9,0.000172963591508811,0.000180688923531883,1.00017297855057,0.99981866697556,1.00052741568562,128557,29147,144789.840442357,144788.626444458,3,0.01,6.1400000000001,O3__mavg__09,188,ok,
O3,O3,mavg,10,O3_mavg10,0.000152705943914699,0.000182732233772642,1.00015271760406,0.99979440729335,1.00051115632775,128557,29147,144790.063850265,144788.850120213,3,0.01,6.19000000000006,O3__mavg__10,189,ok,
