"variable","storage","data_type","unit","source_group","role","required_for","description","privacy"
"PM25_mavg8","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM2.5 mean from lag 0 through lag 8, recomputed by the public workflow.","Restricted at row level"
"PM25_mavg9","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM2.5 mean from lag 0 through lag 9, recomputed by the public workflow.","Restricted at row level"
"PM25_mavg10","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM2.5 mean from lag 0 through lag 10, recomputed by the public workflow.","Restricted at row level"
"PM10","input","numeric","ug/m3","CHAP air-pollution estimates","current-day exposure","Environmental model modules","PM10 on the case or referent day (lag 0).","Restricted at row level"
"PM10_lag1","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM10 1 day(s) before the case or referent day.","Restricted at row level"
"PM10_lag2","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM10 2 day(s) before the case or referent day.","Restricted at row level"
"PM10_lag3","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM10 3 day(s) before the case or referent day.","Restricted at row level"
"PM10_lag4","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM10 4 day(s) before the case or referent day.","Restricted at row level"
"PM10_lag5","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM10 5 day(s) before the case or referent day.","Restricted at row level"
"PM10_lag6","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM10 6 day(s) before the case or referent day.","Restricted at row level"
"PM10_lag7","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM10 7 day(s) before the case or referent day.","Restricted at row level"
"PM10_lag8","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM10 8 day(s) before the case or referent day.","Restricted at row level"
"PM10_lag9","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM10 9 day(s) before the case or referent day.","Restricted at row level"
"PM10_lag10","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","PM10 10 day(s) before the case or referent day.","Restricted at row level"
"PM10_mavg1","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM10 mean from lag 0 through lag 1, recomputed by the public workflow.","Restricted at row level"
"PM10_mavg2","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM10 mean from lag 0 through lag 2, recomputed by the public workflow.","Restricted at row level"
"PM10_mavg3","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM10 mean from lag 0 through lag 3, recomputed by the public workflow.","Restricted at row level"
"PM10_mavg4","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM10 mean from lag 0 through lag 4, recomputed by the public workflow.","Restricted at row level"
"PM10_mavg5","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM10 mean from lag 0 through lag 5, recomputed by the public workflow.","Restricted at row level"
"PM10_mavg6","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM10 mean from lag 0 through lag 6, recomputed by the public workflow.","Restricted at row level"
"PM10_mavg7","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM10 mean from lag 0 through lag 7, recomputed by the public workflow.","Restricted at row level"
"PM10_mavg8","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM10 mean from lag 0 through lag 8, recomputed by the public workflow.","Restricted at row level"
"PM10_mavg9","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM10 mean from lag 0 through lag 9, recomputed by the public workflow.","Restricted at row level"
"PM10_mavg10","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","PM10 mean from lag 0 through lag 10, recomputed by the public workflow.","Restricted at row level"
"O3","input","numeric","ug/m3","CHAP air-pollution estimates","current-day exposure","Environmental model modules","O3 on the case or referent day (lag 0).","Restricted at row level"
"O3_lag1","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","O3 1 day(s) before the case or referent day.","Restricted at row level"
"O3_lag2","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","O3 2 day(s) before the case or referent day.","Restricted at row level"
"O3_lag3","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","O3 3 day(s) before the case or referent day.","Restricted at row level"
"O3_lag4","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","O3 4 day(s) before the case or referent day.","Restricted at row level"
"O3_lag5","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","O3 5 day(s) before the case or referent day.","Restricted at row level"
"O3_lag6","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","O3 6 day(s) before the case or referent day.","Restricted at row level"
"O3_lag7","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","O3 7 day(s) before the case or referent day.","Restricted at row level"
"O3_lag8","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","O3 8 day(s) before the case or referent day.","Restricted at row level"
"O3_lag9","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","O3 9 day(s) before the case or referent day.","Restricted at row level"
"O3_lag10","input","numeric","ug/m3","CHAP air-pollution estimates","single-day lagged exposure","Environmental model modules","O3 10 day(s) before the case or referent day.","Restricted at row level"
"O3_mavg1","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","O3 mean from lag 0 through lag 1, recomputed by the public workflow.","Restricted at row level"
"O3_mavg2","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","O3 mean from lag 0 through lag 2, recomputed by the public workflow.","Restricted at row level"
"O3_mavg3","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","O3 mean from lag 0 through lag 3, recomputed by the public workflow.","Restricted at row level"
"O3_mavg4","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","O3 mean from lag 0 through lag 4, recomputed by the public workflow.","Restricted at row level"
"O3_mavg5","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","O3 mean from lag 0 through lag 5, recomputed by the public workflow.","Restricted at row level"
"O3_mavg6","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","O3 mean from lag 0 through lag 6, recomputed by the public workflow.","Restricted at row level"
"O3_mavg7","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","O3 mean from lag 0 through lag 7, recomputed by the public workflow.","Restricted at row level"
"O3_mavg8","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","O3 mean from lag 0 through lag 8, recomputed by the public workflow.","Restricted at row level"
"O3_mavg9","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","O3 mean from lag 0 through lag 9, recomputed by the public workflow.","Restricted at row level"
"O3_mavg10","derived","numeric","ug/m3","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","O3 mean from lag 0 through lag 10, recomputed by the public workflow.","Restricted at row level"
